x,y
37,488.125953390033
52,397.45183377354
109,1154.40170003253
123,1397.3718222535
273,4073.92751352159
332,5285.4558250324
514,10275.5969507018
540,11017.2524264664
560,11375.4671195452
690,16041.181176122
697,15934.4336242813
701,16582.9752645034
729,17249.7004037908
788,19791.0346578868
842,21390.2896664176
845,21771.0804823346
871,22394.5458641276
938,25169.6592304958
1043,29521.5750447843
1126,33362.4283166551
1208,36467.7805540358
1230,37850.6185570769
1253,38940.3387818876
1259,39163.2473146847
1295,40941.7204927423
1474,49776.6496271189
1519,52011.4560464396
1752,64243.3203872104
1773,65432.5250651344
1838,69266.2256515904
1902,72988.416578606
2100,85054.6166604311
2121,85725.745158572
2165,88284.018821151
2206,90590.1249783917
2211,91070.7859603335
2216,91799.6076999071
2222,91462.7661545411
2266,94613.8160841989
2418,104643.651781762
2529,111538.771963771
2619,117640.567994724
2674,121707.035188301
2732,125177.144432455
2784,128994.951035195
2807,130874.366663951
2957,140934.643494511
3053,147670.494602874
3147,154866.397908546
3169,156599.486545426
3217,159700.2625927
3288,165333.084736158
3295,166060.372551861
3329,167995.101155324
3381,172484.171212317
3396,173451.807664041
3435,176507.794171007
3441,176875.31845455
3481,179944.850868526
3524,183849.485711484
3584,188001.564588515
3587,188009.244269867
3620,191496.086355956
3693,196968.160423255
3827,207869.367879225
3896,213410.693851517
3924,216024.859822703
3964,218635.049114296
4500,264405.11239073
4633,276353.817183028
4646,277393.858684897
4658,278562.614958764
4707,282964.012792892
4758,287533.141353616
4903,300781.975656393
4995,309443.358877825
5074,316813.572936857
5323,340192.425123213
5392,346929.872648707
5462,353411.858766598
5668,374347.036650713
5711,378064.223833069
5722,379202.354562644
5730,380216.193189775
5773,384665.12175725
5803,387198.716705404
5861,393219.74168896
5888,395725.424114813
5924,399418.216318949
5932,400436.962754666
